precinct_id;new_electorate;total_votes;invalid_votes;valid_votes;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;M. Moderaterne;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;Æ. Danmarksdemokraterne - Inger Støjberg;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Andre
A27010;1167;628;15;613;96;14;49;85;28;22;77;93;111;31;7;0
A27011;2498;1300;56;1244;254;45;105;158;54;98;176;178;114;48;14;0
A27012;1718;903;41;862;165;23;78;132;41;52;106;113;97;39;16;0
A30601;;;;;;;;;;;;;;;;
A30602;;;;;;;;;;;;;;;;
A30603;1214;637;12;625;115;13;69;74;27;39;81;105;74;23;5;0
A30604;881;441;17;424;67;6;59;46;17;23;62;46;84;14;0;0
A30605;;;;;;;;;;;;;;;;
A30606;2288;1203;39;1164;222;38;100;187;53;56;130;158;144;57;19;0
A30607;;;;;;;;;;;;;;;;
A30608;;;;;;;;;;;;;;;;
A30609;1005;513;18;495;109;12;40;62;23;21;90;43;50;35;10;0
A30610;;;;;;;;;;;;;;;;
A30611;;;;;;;;;;;;;;;;
A30612;2356;1488;32;1456;301;95;125;264;93;119;85;194;86;69;25;0
A31601;;;;;;;;;;;;;;;;
A31602;915;534;22;512;79;19;40;67;28;29;46;113;42;27;22;0
A31603;2939;1490;46;1444;224;53;97;214;84;81;200;220;176;66;29;0
A31604;;;;;;;;;;;;;;;;
A31605;;;;;;;;;;;;;;;;
A31606;1135;684;11;673;89;22;34;129;38;61;67;83;67;74;9;0
A31607;1746;1119;18;1101;148;52;45;240;36;72;96;149;77;149;37;0
A31608;953;681;12;669;117;28;43;164;31;46;62;69;46;47;16;0
A31609;;;;;;;;;;;;;;;;
A31610;931;570;12;558;87;35;23;106;42;31;39;85;46;45;19;0
A31611;590;360;7;353;49;10;17;76;19;41;29;35;23;36;18;0
A31612;1390;733;19;714;119;36;30;98;26;53;87;122;87;34;22;0
A31613;1680;978;38;940;191;37;65;180;43;77;97;119;65;51;15;0
A31614;;;;;;;;;;;;;;;;
A31615;;;;;;;;;;;;;;;;
A32001;803;443;14;429;66;23;22;44;25;31;44;73;62;27;12;0
A32002;1531;771;30;741;111;20;47;97;40;47;113;123;100;31;12;0
A32003;;;;;;;;;;;;;;;;
A32004;715;454;15;439;52;21;33;73;28;28;39;83;55;19;8;0
A32005;1975;1031;34;997;159;43;57;121;73;49;138;166;123;41;27;0
A32006;1281;664;15;649;92;32;43;79;41;57;82;110;74;26;13;0
A32007;;;;;;;;;;;;;;;;
A32601;1150;658;17;641;117;16;51;87;52;51;81;70;81;25;10;0
A32602;1232;672;38;634;95;28;44;80;31;48;74;122;80;20;12;0
A32603;;;;;;;;;;;;;;;;
A32604;405;213;8;205;19;16;15;36;11;14;23;24;31;13;3;0
A32605;;;;;;;;;;;;;;;;
A32606;;;;;;;;;;;;;;;;
A32607;;;;;;;;;;;;;;;;
A32608;;;;;;;;;;;;;;;;
A32609;;;;;;;;;;;;;;;;
A32610;;;;;;;;;;;;;;;;
A32611;;;;;;;;;;;;;;;;
A32612;;;;;;;;;;;;;;;;
A32613;;;;;;;;;;;;;;;;
A32614;704;450;13;437;67;16;36;81;31;44;46;54;39;22;1;0
A32615;1439;712;17;695;88;25;55;101;40;46;85;113;99;21;22;0
A32616;2255;1455;18;1437;299;37;99;230;85;155;105;247;108;60;12;0
A32617;;;;;;;;;;;;;;;;
A32618;;;;;;;;;;;;;;;;
A32901;;;;;;;;;;;;;;;;
A32902;;;;;;;;;;;;;;;;
A32903;;;;;;;;;;;;;;;;
A32904;;;;;;;;;;;;;;;;
A32905;;;;;;;;;;;;;;;;
A32906;;;;;;;;;;;;;;;;
A32907;;;;;;;;;;;;;;;;
A32908;;;;;;;;;;;;;;;;
A32909;;;;;;;;;;;;;;;;
A32910;;;;;;;;;;;;;;;;
A32911;;;;;;;;;;;;;;;;
A32912;;;;;;;;;;;;;;;;
A32913;;;;;;;;;;;;;;;;
A33001;;;;;;;;;;;;;;;;
A33002;;;;;;;;;;;;;;;;
A33003;;;;;;;;;;;;;;;;
A33004;1827;1094;34;1060;160;63;110;146;60;95;89;217;68;35;17;0
A33005;;;;;;;;;;;;;;;;
A33006;982;576;14;562;63;23;51;60;29;47;64;126;57;27;15;0
A33007;;;;;;;;;;;;;;;;
A33008;3364;2006;34;1972;286;97;147;296;142;138;190;339;186;119;32;0
A33009;;;;;;;;;;;;;;;;
A33010;1253;847;19;828;108;50;71;161;54;73;76;111;63;50;11;0
A33011;1073;646;13;633;95;30;51;113;38;42;75;88;60;27;14;0
A33012;959;605;9;596;81;25;48;106;45;59;47;103;36;34;12;0
A33013;;;;;;;;;;;;;;;;
A33014;2122;1302;28;1274;227;54;104;213;95;75;146;163;103;71;23;0
A33015;2185;1488;31;1457;199;95;118;325;116;113;85;230;86;72;18;0
A33016;;;;;;;;;;;;;;;;
A33017;2288;1383;29;1354;191;93;103;257;84;115;81;225;99;79;27;0
A33018;;;;;;;;;;;;;;;;
A33601;;;;;;;;;;;;;;;;
A33602;;;;;;;;;;;;;;;;
A33603;;;;;;;;;;;;;;;;
A33604;;;;;;;;;;;;;;;;
A34001;;;;;;;;;;;;;;;;
A34002;;;;;;;;;;;;;;;;
A34003;;;;;;;;;;;;;;;;
A34004;;;;;;;;;;;;;;;;
A34005;;;;;;;;;;;;;;;;
A34006;;;;;;;;;;;;;;;;
A34007;;;;;;;;;;;;;;;;
A35001;;;;;;;;;;;;;;;;
A35002;;;;;;;;;;;;;;;;
A35003;;;;;;;;;;;;;;;;
A35004;;;;;;;;;;;;;;;;
A35005;839;537;14;523;59;43;53;96;36;42;36;78;31;40;9;0
A35006;;;;;;;;;;;;;;;;
A35007;2662;1720;37;1683;215;120;104;300;128;139;131;309;99;104;34;0
A35008;;;;;;;;;;;;;;;;
A35009;2231;1453;28;1425;218;86;158;211;143;102;112;222;79;58;36;0
A35010;;;;;;;;;;;;;;;;
A36001;1738;1138;27;1111;180;78;108;168;69;87;71;186;94;43;27;0
A36002;;;;;;;;;;;;;;;;
A36003;822;476;10;466;64;28;37;63;23;32;57;102;26;17;17;0
A36004;;;;;;;;;;;;;;;;
A36005;;;;;;;;;;;;;;;;
A36006;;;;;;;;;;;;;;;;
A36007;;;;;;;;;;;;;;;;
A36008;;;;;;;;;;;;;;;;
A36009;;;;;;;;;;;;;;;;
A36010;1814;1108;29;1079;179;59;60;226;43;78;85;174;108;59;8;0
A36011;;;;;;;;;;;;;;;;
A36012;;;;;;;;;;;;;;;;
A36013;;;;;;;;;;;;;;;;
A36014;2424;1269;38;1231;193;32;84;174;93;82;123;180;176;69;25;0
A36015;;;;;;;;;;;;;;;;
A36016;;;;;;;;;;;;;;;;
A37001;;;;;;;;;;;;;;;;
A37002;;;;;;;;;;;;;;;;
A37003;817;512;12;500;72;15;27;142;16;39;37;35;37;73;7;0
A37004;;;;;;;;;;;;;;;;
A37005;;;;;;;;;;;;;;;;
A37006;;;;;;;;;;;;;;;;
A37007;;;;;;;;;;;;;;;;
A37008;1018;559;11;548;110;20;31;83;17;43;68;74;49;48;5;0
A37009;;;;;;;;;;;;;;;;
A37010;;;;;;;;;;;;;;;;
A37011;1293;922;18;904;131;42;68;190;30;65;62;152;53;86;25;0
A37012;;;;;;;;;;;;;;;;
A37013;2907;1504;44;1460;282;62;77;240;74;100;151;194;166;89;25;0
A37014;555;353;5;348;53;21;17;65;21;23;29;56;31;26;6;0
A37015;837;440;15;425;72;11;21;60;27;19;56;45;58;44;12;0
A37016;;;;;;;;;;;;;;;;
A37017;268;170;6;164;37;9;8;24;7;9;16;24;21;8;1;0
A37018;;;;;;;;;;;;;;;;
A37019;;;;;;;;;;;;;;;;
A37020;1474;818;18;800;114;20;46;106;57;76;87;158;96;30;10;0
A37021;527;312;8;304;59;12;19;53;16;21;38;35;31;18;2;0
A37022;947;504;6;498;99;19;37;60;23;31;54;98;58;14;5;0
A37023;2365;1052;27;1025;214;31;73;108;55;51;130;176;129;36;22;0
A37024;;;;;;;;;;;;;;;;
A37601;1386;771;21;750;106;23;52;128;49;36;77;129;86;53;11;0
A37602;1095;594;21;573;76;30;47;64;31;30;68;102;91;25;9;0
A37603;;;;;;;;;;;;;;;;
A37604;;;;;;;;;;;;;;;;
A37605;;;;;;;;;;;;;;;;
A37606;;;;;;;;;;;;;;;;
A37607;;;;;;;;;;;;;;;;
A37608;623;362;1;361;51;9;24;74;8;30;37;67;23;33;5;0
A37609;;;;;;;;;;;;;;;;
A37610;;;;;;;;;;;;;;;;
A37611;602;356;7;349;50;10;38;40;16;18;37;75;32;25;8;0
A37612;583;370;9;361;55;18;41;47;22;28;34;45;36;22;13;0
A37613;;;;;;;;;;;;;;;;
A37614;1024;659;6;653;84;24;43;109;51;52;51;111;69;45;14;0
A37615;;;;;;;;;;;;;;;;
A37616;1202;812;10;802;99;55;65;214;55;47;38;96;33;83;17;0
A37617;922;532;15;517;71;21;93;65;40;26;42;69;62;16;12;0
A37618;983;608;16;592;97;32;51;93;38;42;40;92;71;22;14;0
A37619;526;304;10;294;31;10;29;47;14;21;34;49;34;14;11;0
A37620;913;536;20;516;74;15;54;94;44;25;46;66;58;30;10;0
A39001;1000;584;22;562;68;24;62;98;27;42;55;87;53;31;15;0
A39002;614;343;10;333;44;7;30;28;27;18;42;51;59;20;7;0
A39003;;;;;;;;;;;;;;;;
A39004;1515;712;13;699;124;23;53;86;33;45;104;74;101;39;17;0
A39005;1389;818;27;791;115;30;50;98;46;51;94;146;106;40;15;0
A39006;;;;;;;;;;;;;;;;
A39007;;;;;;;;;;;;;;;;
A39008;;;;;;;;;;;;;;;;
A39009;;;;;;;;;;;;;;;;
A39010;2405;1175;47;1128;190;41;92;122;57;57;171;185;153;48;12;0
A39011;1400;805;21;784;119;36;64;99;54;48;71;167;97;14;15;0
A39012;1453;791;26;765;137;21;65;86;56;57;92;143;69;26;13;0
A39013;;;;;;;;;;;;;;;;
A39014;;;;;;;;;;;;;;;;
A39015;1964;1034;29;1005;200;34;78;135;59;58;104;152;127;40;18;0
A39016;2685;1358;48;1310;198;47;115;116;106;67;184;242;178;32;25;0
A39017;;;;;;;;;;;;;;;;
A40004;1314;794;26;768;121;34;55;147;49;30;60;151;60;38;23;0
A40005;;;;;;;;;;;;;;;;
A40006;154;78;0;78;20;4;4;9;1;1;8;12;12;5;2;0
A40007;1078;604;27;577;101;17;36;60;41;64;51;111;56;22;18;0
A40008;128;82;1;81;14;3;1;20;0;2;10;12;10;7;2;0
A40009;;;;;;;;;;;;;;;;
A40001;;;;;;;;;;;;;;;;
A40002;;;;;;;;;;;;;;;;
A40003;;;;;;;;;;;;;;;;
A41001;;;;;;;;;;;;;;;;
A41002;;;;;;;;;;;;;;;;
A41003;;;;;;;;;;;;;;;;
A41004;2912;1562;51;1511;267;121;99;356;88;67;80;121;43;195;74;0
A41005;;;;;;;;;;;;;;;;
A41006;;;;;;;;;;;;;;;;
A41007;;;;;;;;;;;;;;;;
A41008;;;;;;;;;;;;;;;;
A41009;;;;;;;;;;;;;;;;
A41010;;;;;;;;;;;;;;;;
A41011;;;;;;;;;;;;;;;;
A41101;;;;;;;;;;;;;;;;
A42001;;;;;;;;;;;;;;;;
A42002;888;510;14;496;85;16;46;95;22;26;53;70;50;23;10;0
A42003;;;;;;;;;;;;;;;;
A42004;;;;;;;;;;;;;;;;
A42005;;;;;;;;;;;;;;;;
A42006;;;;;;;;;;;;;;;;
A42007;;;;;;;;;;;;;;;;
A42008;;;;;;;;;;;;;;;;
A42009;2227;1301;25;1276;191;73;140;207;87;85;88;191;116;65;33;0
A42010;;;;;;;;;;;;;;;;
A42011;;;;;;;;;;;;;;;;
A42012;;;;;;;;;;;;;;;;
A42013;;;;;;;;;;;;;;;;
A42014;;;;;;;;;;;;;;;;
A42015;;;;;;;;;;;;;;;;
A42016;;;;;;;;;;;;;;;;
A42017;;;;;;;;;;;;;;;;
A42018;691;449;15;434;57;28;49;62;29;28;31;73;50;20;7;0
A43001;;;;;;;;;;;;;;;;
A43002;;;;;;;;;;;;;;;;
A43003;1448;822;23;799;185;22;43;114;46;49;52;138;108;29;13;0
A43004;607;347;13;334;63;8;25;47;11;17;39;75;31;8;10;0
A43005;641;405;11;394;58;22;35;43;28;22;38;73;58;11;6;0
A43006;;;;;;;;;;;;;;;;
A43007;548;306;14;292;45;13;21;34;13;11;42;50;55;6;2;0
A43008;985;614;11;603;83;29;48;112;31;36;47;105;66;28;18;0
A43009;;;;;;;;;;;;;;;;
A43010;740;409;10;399;83;17;36;33;25;10;49;68;58;16;4;0
A43011;735;469;21;448;82;21;34;73;27;22;44;67;48;19;11;0
A43012;;;;;;;;;;;;;;;;
A43013;613;395;11;384;78;14;31;40;17;24;23;85;51;13;8;0
A43014;;;;;;;;;;;;;;;;
A43015;517;318;8;310;59;17;18;47;16;10;21;46;49;18;9;0
A43016;1315;858;20;838;171;30;73;136;50;31;68;155;85;17;22;0
A43017;1453;900;22;878;152;58;87;145;60;41;63;145;84;26;17;0
A43018;;;;;;;;;;;;;;;;
A43019;1205;704;28;676;132;29;54;87;56;26;63;119;89;14;7;0
A43020;;;;;;;;;;;;;;;;
A43021;;;;;;;;;;;;;;;;
A44001;;;;;;;;;;;;;;;;
